Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_34.trimmed.R1.v1	sample_34.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90975920.0	0.0	50-157	51.0	17.79389203328698	154.26069547853982	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_34.trimmed.R2.v1	sample_34.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90975920.0	0.0	50-157	50.0	21.916634321128036	154.21886301342158	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_35.trimmed.R1.v1	sample_35.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95852395.0	0.0	50-157	51.0	18.163534016516415	154.3070933178039	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_35.trimmed.R2.v1	sample_35.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95852395.0	0.0	50-157	50.0	22.12081992382379	154.24288321642877	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_36.trimmed.R1.v1	sample_36.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84577477.0	0.0	50-157	51.0	16.26229420535281	153.77978461097865	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_36.trimmed.R2.v1	sample_36.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84577477.0	0.0	50-157	50.0	18.341172729384077	153.7353071196484	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_37.trimmed.R1.v1	sample_37.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82302493.0	0.0	50-157	51.0	19.805959141908875	154.3631156106049	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_37.trimmed.R2.v1	sample_37.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82302493.0	0.0	50-157	50.0	24.505941465710563	154.32160474166923	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_38.trimmed.R1.v1	sample_38.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90491855.0	0.0	50-157	51.0	19.562568454584024	153.86313853329673	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_38.trimmed.R2.v1	sample_38.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90491855.0	0.0	50-157	50.0	23.43053413108193	153.76595554373375	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_39.trimmed.R1.v1	sample_39.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93048886.0	0.0	50-157	52.0	18.098772654607394	153.98447067920836	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_39.trimmed.R2.v1	sample_39.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93048886.0	0.0	50-157	51.0	22.171997819623282	153.94027724308273	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_4.trimmed.R1.v1	sample_4.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84355948.0	0.0	50-157	51.0	18.09450500707501	154.5695804876735	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass	fail
