GWK47_028409	KAG0730368.1	GO:0015914
GWK47_028409	KAG0730368.1	PFAM:PF02121
GWK47_028421	KAG0730361.1	GO:0003735
GWK47_028421	KAG0730361.1	GO:0005840
GWK47_028421	KAG0730361.1	GO:0006412
GWK47_028422	KAG0730362.1	GO:0009058
GWK47_028422	KAG0730362.1	GO:0016742
GWK47_028422	KAG0730362.1	InterPro:IPR036477
GWK47_028422	KAG0730362.1	PFAM:PF00551
GWK47_028424	KAG0730355.1	InterPro:IPR027012
GWK47_028424	KAG0730355.1	PFAM:PF13864
GWK47_028427	KAG0730357.1	InterPro:IPR039433
GWK47_028427	KAG0730357.1	PFAM:PF05644
GWK47_003278	KAG0730353.1	InterPro:IPR028002
GWK47_003278	KAG0730353.1	PFAM:PF13873
GWK47_028437	KAG0730351.1	GO:0005096
GWK47_028437	KAG0730351.1	GO:0051056
GWK47_028437	KAG0730351.1	PFAM:PF02145
GWK47_028441	KAG0730349.1	InterPro:IPR010754
GWK47_028441	KAG0730349.1	PFAM:PF07047
GWK47_028441	KAG0730350.1	InterPro:IPR010754
GWK47_028441	KAG0730350.1	PFAM:PF07047
GWK47_003280	KAG0730338.1	InterPro:IPR027329
GWK47_003280	KAG0730338.1	InterPro:IPR027330
GWK47_003280	KAG0730338.1	PFAM:PF06886
GWK47_003280	KAG0730338.1	PFAM:PF12214
GWK47_003281	KAG0730339.1	InterPro:IPR036249
GWK47_003282	KAG0730340.1	InterPro:IPR036249
GWK47_003285	KAG0730344.1	InterPro:IPR005135
GWK47_003285	KAG0730344.1	InterPro:IPR036691
GWK47_003285	KAG0730344.1	PFAM:PF14529
GWK47_003289	KAG0730346.1	CDD:cd01850
GWK47_003289	KAG0730346.1	GO:0005525
GWK47_003289	KAG0730346.1	InterPro:IPR030379
GWK47_003289	KAG0730346.1	PFAM:PF00735
GWK47_028449	KAG0730333.1	InterPro:IPR005037
GWK47_028449	KAG0730333.1	PFAM:PF03371
GWK47_028455	KAG0730337.1	InterPro:IPR029006
GWK47_028455	KAG0730337.1	InterPro:IPR036180
GWK47_028456	KAG0730323.1	GO:0003676
GWK47_028458	KAG0730324.1	GO:0016307
GWK47_028458	KAG0730324.1	GO:0046488
GWK47_028458	KAG0730324.1	PFAM:PF01504
GWK47_028460	KAG0730325.1	CDD:cd15725
GWK47_028460	KAG0730325.1	GO:0035556
GWK47_028460	KAG0730325.1	GO:0046872
GWK47_028460	KAG0730325.1	InterPro:IPR011011
