Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
5329_50_S113_L004_R2_001	73.73633871572116	51.0	157.0	36.36363636363637	51000814.0
5329_51_S114_L004_R1_001	78.475334240065	51.0	157.0	27.27272727272727	54818185.0
5329_51_S114_L004_R2_001	75.2436073400085	50.0	157.0	36.36363636363637	54818185.0
5329_52_S115_L004_R1_001	75.26060020717094	51.0	157.0	36.36363636363637	48223690.0
5329_52_S115_L004_R2_001	72.1406617420619	50.0	157.0	36.36363636363637	48223690.0
5329_53_S116_L004_R1_001	79.00307981355817	52.0	157.0	27.27272727272727	68721507.0
5329_53_S116_L004_R2_001	75.22896238828052	51.0	157.0	27.27272727272727	68721507.0
5329_54_S117_L004_R1_001	78.17024567438203	51.0	157.0	36.36363636363637	66584568.0
5329_54_S117_L004_R2_001	74.65618285726626	50.0	157.0	36.36363636363637	66584568.0
5329_55_S118_L004_R1_001	77.0874261447494	52.0	157.0	36.36363636363637	51447238.0
5329_55_S118_L004_R2_001	73.2538156384953	51.0	157.0	36.36363636363637	51447238.0
5329_56_S119_L004_R1_001	77.99040118968395	51.0	157.0	36.36363636363637	59317355.0
5329_56_S119_L004_R2_001	74.99663730391698	50.0	157.0	36.36363636363637	59317355.0
5329_57_S120_L004_R1_001	76.79118758699572	51.0	157.0	27.27272727272727	47869370.0
5329_57_S120_L004_R2_001	73.456737365432	51.0	157.0	27.27272727272727	47869370.0
5329_58_S121_L004_R1_001	75.488005261103	51.0	157.0	36.36363636363637	48743971.0
5329_58_S121_L004_R2_001	72.36631104022698	51.0	157.0	36.36363636363637	48743971.0
5329_59_S122_L004_R1_001	77.25906720440814	52.0	157.0	27.27272727272727	50281976.0
5329_59_S122_L004_R2_001	73.54414411203987	51.0	157.0	27.27272727272727	50281976.0
5329_5_S68_L004_R1_001	75.77642737863987	51.0	157.0	27.27272727272727	39151518.0
5329_5_S68_L004_R2_001	71.76521284633277	51.0	157.0	27.27272727272727	39151518.0
